
2025-07-24 03:16:17,848 - Step 6360, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,508,064.48
2025-07-24 03:17:01,614 - Step 6420, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=16,135,242.06
2025-07-24 03:17:46,601 - Step 6480, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=5,659,073.01
2025-07-24 03:18:31,213 - Step 6540, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=5,787,888.66
2025-07-24 03:19:16,729 - Step 6600, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=3,554,801.09
2025-07-24 03:20:02,337 - Step 6660, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=10,779,255.68
2025-07-24 03:20:48,967 - Step 6720, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=10,652,255.07
2025-07-24 03:21:34,791 - Step 6780, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=9,757,336.56
2025-07-24 03:22:20,871 - Step 6840, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,472,009.72
2025-07-24 03:23:07,197 - Step 6900, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=10,182,861.06
2025-07-24 03:23:54,425 - Step 6960, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=8,188,474.98
2025-07-24 03:24:41,553 - Step 7020, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=1,475,064.78
2025-07-24 03:25:29,522 - Step 7080, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=4,009,688.59
2025-07-24 03:26:17,323 - Step 7140, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=6,680,448.09
2025-07-24 03:27:04,974 - Step 7200, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=22,432,663.53
2025-07-24 03:27:52,183 - Step 7260, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=9,820,434.48
2025-07-24 03:28:40,137 - Step 7320, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=15,115,542.80
2025-07-24 03:29:27,706 - Step 7380, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=14,040,587.18
2025-07-24 03:30:15,485 - Step 7440, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=16,927,359.28
2025-07-24 03:31:04,418 - Step 7500, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=15,205,722.29
2025-07-24 03:31:52,993 - Step 7560, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=7,979,738.02
2025-07-24 03:32:42,325 - Step 7620, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=3,624,412.95
2025-07-24 03:33:31,556 - Step 7680, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=12,311,744.91
2025-07-24 03:34:22,628 - Step 7740, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=29,846,629.44
2025-07-24 03:35:13,043 - Step 7800, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=10,968,137.67
2025-07-24 03:36:05,683 - Step 7860, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=15,384,690.46
2025-07-24 03:36:57,964 - Step 7920, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=2,911,169.91
2025-07-24 03:37:50,813 - Step 7980, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=3,047,490.51
2025-07-24 03:38:41,426 - Step 8040, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=14,390,854.12
2025-07-24 03:39:32,527 - Step 8100, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=4,610,755.73
2025-07-24 03:40:23,266 - Step 8160, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=3,039,696.60
2025-07-24 03:41:15,286 - Step 8220, Capital=1,000,000,000.00, Position=0.00, 1-min Volume=2,140,493.24
